code_2008,libelle_2008,code_2025,libelle_2025,type_correspondance,type_officiel,contenu_commun,source_url,source_reference
68.31Z,Agences immobilières,68.32H,Autres activités immobilières pour compte de tiers n.c.a.,n↔n,Multiple,"- les activités d'évaluation des biens immobiliers - les activités des agents de séquestre immobilier - les activités de conseil, sur la base d'honoraires ou de contrats, en rapport avec l'achat, la vente et la location de biens immobiliers",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.32A,Administration d'immeubles et autres biens immobiliers,68.32H,Autres activités immobilières pour compte de tiers n.c.a.,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.32B,Supports juridiques de gestion de patrimoine immobilier,68.32G,Activités des unités non productives détentrices de patrimoine immobilier,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
69.10Z,Activités juridiques,69.10Y,Activités juridiques,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
69.20Z,Activités comptables,69.20Y,"Activités de comptabilité, de tenue de comptes et d’audit ; conseil fiscal",1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
70.10Z,Activités des sièges sociaux,70.10Y,Activités des sièges sociaux,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
70.21Z,Conseil en relations publiques et communication,73.30Y,Activités de relations publiques et de communication,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
70.22Z,Conseil pour les affaires et autres conseils de gestion,70.20Y,Activités de conseil pour les affaires et autre conseil de gestion,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
71.11Z,Activités d'architecture,71.11Y,Activités d’architecture,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
71.12A,Activité des géomètres,71.12Y,Activités d’ingénierie et de conseil technique connexe,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
71.12B,"Ingénierie, études techniques",71.12Y,Activités d’ingénierie et de conseil technique connexe,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
71.20A,Contrôle technique automobile,71.20G,Contrôle technique des véhicules,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
71.20B,"Analyses, essais et inspections techniques",71.20H,"Analyses, essais et inspections techniques",1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
72.11Z,Recherche-développement en biotechnologie,72.10G,Recherche et développement en biotechnologies,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
